IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Substance,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.5,Non-Specified,fossil,CO2,2000,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962,96.05120962
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,bio,CO2,2001,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644,23323.54644
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.1,Emissions from biomass burning,bio,CO2,2001,372.6261607,524.5142261,1481.45578,2042.782333,1346.573907,641.064415,371.5828121,523.178067,1479.740669,2040.326865,1344.821273,641.2846858
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,bio,CO2,2001,732.1512085,714.3010675,743.672469,760.2742738,755.008389,760.6157878,732.0524037,714.1580901,743.5641314,760.2482135,755.0366118,760.6781539
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,fossil,CO2,2001,213.4796082,208.2724855,216.8386857,221.6838548,220.1513863,221.7882015,213.461454,208.2462151,216.8187799,221.6790666,220.1565719,221.7996605
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.e,Other Transportation,fossil,CO2,2001,295.730741,299.8848926,306.7208011,319.2337202,315.6036259,303.6770019,295.9699547,300.0480329,306.815783,319.3203473,315.5851571,303.5129821
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.1,Solid Fuels,fossil,CO2,2001,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.5,Non-Specified,fossil,CO2,2001,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478,55.89865478
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CO2,2001,1824.998131,1850.409741,1892.413915,1969.604252,1946.900273,1872.896261,1825.123722,1850.493746,1892.465849,1969.655565,1946.890047,1872.802368
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,fossil,CO2,2001,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274,441.2209274
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.3,Urea application,fossil,CO2,2001,5.253890042,7.396068818,20.90560051,28.82638066,19.00127564,9.05371056,5.253511917,7.395610694,20.90510983,28.82566833,19.00072732,9.053839351
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.d,Water-borne Navigation,fossil,CO2,2001,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747,8.288702747
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.2,Oil and Natural Gas,fossil,CO2,2001,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041,4427.282041
Non-Annex_I,Western_Africa,NGA,Nigeria,2.B,Chemical Industry,fossil,CO2,2001,101.0297139,98.56349278,102.6191831,104.9157494,104.1928843,104.9689766,101.0297139,98.56349278,102.6191831,104.9157494,104.1928843,104.9689766
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CO2,2001,662.1538395,641.7280751,635.3106029,662.5213488,656.9107442,655.9663219,662.1538395,641.7280751,635.3106029,662.5213488,656.9107442,655.9663219
Non-Annex_I,Western_Africa,NGA,Nigeria,2.C,Metal Industry,fossil,CO2,2001,0.053917268,0.052601101,0.054765531,0.055991157,0.05560538,0.056019563,0.053917268,0.052601101,0.054765531,0.055991157,0.05560538,0.056019563
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.4,Other Process Uses of Carbonates,fossil,CO2,2001,0.995412844,0.971113971,1.011073366,1.033700685,1.026578531,1.034225115,0.995412844,0.971113971,1.011073366,1.033700685,1.026578531,1.034225115
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.2,Liming,fossil,CO2,2001,0.941690432,1.325653462,3.747146112,5.166874118,3.405804497,1.622831198,0.941690432,1.325653462,3.747146112,5.166874118,3.405804497,1.622831198
